      2 [
      9 []
      2 [�]
      1 [��]
      1 [���]
     59 ]
   1304 �
     14 ��
     10 ���
      6 ����
      5 �����
      1 ��������
      3 ���������
      1 ����������
      2 �����������
  50998 a
      4 [a
     20 �a
      1 ��a
      5 aa
      1 aak
      1 a��a�nepetalakton
      1 aaviannyhn
     10 ab
      1 abahagyja
      1 abakánitörök
      1 abaktérium
      1 aban
     58 ában
     12 �ában
      8 abba
      6 abbahagyása
      1 abbahagyásából
      1 abbahagyását
      1 abbahagyásuk
      1 abbahagyják
      3 abbahagyni
      1 abbahagynia
      1 abbahagyó
      1 abbahagyott
      1 abbahagyta
      2 abbahagyták
      2 abbamaradása
    100 abban
      1 abbe
     36 abból
      1 abctranszportereket
      3 abdominalis
      1 abdominális
      2 abducens
      1 abducentis
      1 abdul
      1 abdulbahá
      1 ábécé
      2 ábécét
      1 abel
      1 ábénullás
      1 aberdeeni
      1 abf
      1 abhinava
      2 abies
      1 abilify
      5 abláció
      1 ablációja
      2 ablak
      1 ablaka
      2 ablakaként
      1 ablakokat
      2 ablakon
      2 ablakos
      2 ablakot
      2 abnormal
     20 abnormális
      1 abnormálisak
      5 abnormálisan
      1 abnormálisnak
      2 abnormalitás
      2 abnormalitása
      1 abnormalitásokra
      3 abo
      1 aból
      1 ából
      1 �ából
      1 abolicionista
      1 aboltzmannállandó
      1 aboralis
      1 aboralisan
      1 aboriginek
      1 abortáltak
      1 abortív
      2 abortus
      2 abortusszal
     16 abortusz
      1 abortuszhoz
      9 abortuszok
      1 abortuszon
      2 abortuszra
      1 abortuszrendszer
      2 abortuszról
      7 abortuszt
      1 abpm
      8 ábra
      2 abraham
      4 Ábrahám
      1 ábrahámi
      1 Ábrahámmal
      1 ábrákat
      1 ábrákkal
      1 abramowitz
      4 ábrán
      1 ábrának
      6 ábrát
      1 abrázió
      4 ábrázol
      3 ábrázolás
      5 ábrázolása
      1 ábrázolásai
      1 ábrázolására
      1 ábrázolási
      1 ábrázolható
      2 ábrázolja
      3 ábrázolják
      2 ábrázolnak
      1 ábrázolni
      2 ábrázoló
      3 ábrázolt
      1 abrisbane
      1 abrosz
      1 abroszt
      4 abs
      3 abscessus
      1 absence
      2 absoho
      1 abszint
     23 abszolút
      1 abszolutórium
      2 abszolutóriumot
      1 abszorbancia
      1 abszorbeál
      1 abszorbeálják
      1 abszorpció
      1 abszorpciójára
      3 abszorpciós
      1 abszorpciót
      3 absztinencia
      1 absztinenciaszabály
      1 absztinenciával
      1 absztrakciójának
      6 absztrakt
      1 absztraktabb
      1 abszurdnak
      1 abú
      1 abulcasis
      3 abúzus
      1 abúzusa
      1 abúzushoz
      2 ac
      1 acaa
      1 académie
      2 academy
      1 acalyphoideae
      1 acanthamoeba
      1 acanthophis
      1 accelerint
      2 acceptance
      1 accessible
      1 accessorii
      1 accessorius
      1 account
      1 acdsavanyúcitrátdextróz
      1 ace
      1 acegátlók
      6 acél
      3 acélból
      1 acélénak
      1 acélgyártás
      1 acéllal
      2 acelluláris
      1 acelluralis
      1 acélszürke
      5 acetaldehid
      2 acetaldehiddé
      1 acetaldehidet
      1 acetaminophen
      1 acetaminophenparacetamol
      1 acetát
      1 acetátok
      1 acetilacetonnal
      1 acetilaminoantipirin
      1 acetilező
      1 acetiljodiddá
      1 acetilklorid
      7 acetilkolin
      1 acetilkolinnak
      1 acetilkolinreceptorához
      1 acetilkolinreceptorioncsatornához
      1 acetilkolinreceptorokat
      3 acetilszalicilsav
      4 aceton
      2 acetonban
      1 acetonból
      1 acetylcholin
      1 acgih
      2 ach
      1 achard
      1 achickenmexicohn
      1 achickennakornpatomthailandcukhn
      1 achickenscotland
      1 acholeplasma
      3 acholeplasmataceae
      6 acholeplasmatales
      1 acholeplazmák
      1 acholeplazmákban
      1 achondroplasia
      1 achromogenes
      5 acid
      1 acidic
      1 acidophilus
      1 acidosis
      7 acidózis
      2 acidózisnál
      4 acidózist
      1 acidum
      1 aciklovir
      1 aciklovirral
      1 acilezőszerekkel
      2 acináris
      3 acne
      1 aconitum
      3 acquired
      2 acquisita
      2 acs
      3 act
     12 acth
      1 acthfelszabadulás
      1 acthképzése
      1 acthkoncentráció
      1 acthon
      1 acthreceptorhoz
      1 acthszabályozáshoz
      1 acthszekréció
      1 actht
      2 acthtermelés
      1 acthtermelést
      1 acthtúltermelés
      1 acthtúltermelődéshez
      1 acthval
      1 actinobacteria
      1 actinomyces
      2 action
      2 activating
      2 activin
      1 activinnel
      1 actynomycetes
      1 acupuncture
      1 acupuncture]]
      1 acusticus
      4 acut
      3 acuta
      1 acute
      1 acutus
      1 acw
      1 acwy
      1 acyldepsipeptidek
     96 ad
      3 ada
     27 adag
     11 adagban
      1 adaggal
      6 adagja
      1 adagjai
      1 adagjaira
      1 adagjának
      2 adagját
      1 adagnál
      2 adagok
      4 adagokban
      1 adagoknál
     20 adagolás
      4 adagolása
      1 adagolásakor
      1 adagolásának
      3 adagolására
      6 adagolásával
      1 adagolási
      1 adagolással
      3 adagolást
      1 adagolható
      1 adagolhatóak
      1 adagolhatunk
      1 adagolja
      3 adagolják
      3 adagolnak
      4 adagolni
      1 adagoló
      1 adagolószelepes
     10 adagolt
      1 adagoltak
      1 adagolták
      3 adagolva
      1 adagonként
      7 adagot
      1 adagra
      1 adagtól
      2 adagú
      1 adakozás
      1 adakozást
      1 adakozó
      2 adalékanyag
      2 adalékanyaga
      2 adalékanyagául
      3 adalékanyagként
      3 adalékanyagok
      2 adalékanyagokkal
      1 adalékanyagot
      1 adalékkal
      2 adalékként
      2 adalékok
      1 adalékokat
      2 adam
      1 Ádám
      1 adamantánszármazékokkal
      1 ádámcsutkát
      1 adami
      1 adams
      1 adandó
      1 adaptáció
      2 adaptációi
      1 adaptálása
      1 adaptálásával
      1 adaptálják
      1 adaptálni
      1 adaptálódnak
      1 adaptálódni
      1 adaptálódva
      1 adaptált
      1 adaptálta
      1 adaptálták
      2 adaptív
      2 adás
     20 adása
      1 adásában
      2 adásának
      7 adására
      5 adását
     10 adásával
      2 adásba
      1 adásszünete
     22 adat
     14 adatai
      1 adataiból
      2 adataikat
      2 adatainak
      1 adataink
      1 adataira
      5 adatait
      1 adatállományában
      1 adatátvitelben
      1 adatbázis
      1 adatbázisa
      1 adatbázisban
      2 adatfeldolgozás
      1 adatfeldolgozást
      1 adatfelvétel
      1 adatfelvétellel
      1 adatgyűjteménye
      1 adatgyüjtés
      1 adatgyűjtési
      1 adathalmazból
      1 adathalmazzá
      1 adathordozóra
      1 adati
      1 adatik
      3 adatja
      1 adatközlésben
      3 adatlap
      1 adatlapot
      1 adatni
     70 adatok
     11 adatokat
      2 adatokból
      5 adatokkal
      1 adatoknak
      1 adatokról
      1 adatot
      1 adatszolgáltatás
      1 adattárból
      1 adattárolás
      1 ádáz
